"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 06:52:01 UTC 2024","Mon Jun 03 06:52:17 UTC 2024","15626","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Mon Jun 03 06:10:51 UTC 2024","Mon Jun 03 06:11:08 UTC 2024","16620","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Mon Jun 03 06:46:14 UTC 2024","Mon Jun 03 06:46:24 UTC 2024","10400","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Mon Jun 03 06:13:26 UTC 2024","Mon Jun 03 06:13:41 UTC 2024","15408","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Mon Jun 03 06:11:26 UTC 2024","Mon Jun 03 06:11:51 UTC 2024","24544","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Jun 03 05:51:16 UTC 2024","Mon Jun 03 05:51:32 UTC 2024","16066","","9. Client Portal - Home","","","","1. Check links",""
"passed","Mon Jun 03 06:46:30 UTC 2024","Mon Jun 03 06:46:33 UTC 2024","2363","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"skipped","Mon Jun 03 06:08:39 UTC 2024","Mon Jun 03 06:08:39 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Mon Jun 03 06:58:50 UTC 2024","Mon Jun 03 06:59:04 UTC 2024","14243","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"skipped","Mon Jun 03 06:08:39 UTC 2024","Mon Jun 03 06:08:39 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Mon Jun 03 06:59:04 UTC 2024","Mon Jun 03 06:59:14 UTC 2024","9591","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Mon Jun 03 06:52:17 UTC 2024","Mon Jun 03 06:56:26 UTC 2024","248981","","18. Check Admin header","","","","2. Check Navbar",""
